30,100,"(23.116700000000002, 113.25)"
37,9,"(21.216699999999999, 81.433300000000003)"
36,127,"(6.9318999999999997, 79.847800000000007)"
35,58,"(37.9833, 23.7333)"
34,51,"(4.6492000000000004, -74.062799999999996)"
vbr,1,"(50.933590000000002, 4.3732550000000003)"
bol,38,"(10.166667, -75.333332999999996)"
e9,0,"(-43.533299999999997, 172.63329999999999)"
vic,2001,"(-37.814107, 144.96328)"
brx,7,"(50.850340000000003, 4.3517099999999997)"
070,22,"(56.162939000000001, 10.203920999999999)"
chh,18,"(31.697526, -106.443174)"
msr,1,"(8.4542359999999999, 124.63189800000001)"
chp,2,"(17.510204000000002, -91.981039999999993)"
m3,0,"(50.950000000000003, -2.7999999999999998)"
6,12,"(47.070714000000002, 15.439503999999999)"
kgd,0,"(54.716667000000001, 20.516667000000002)"
92,0,"(40.655000000000001, 29.276900000000001)"
97,1,"(44.500399999999999, 0.16550000000000001)"
kgn,0,"(55.450000000000003, 65.333332999999996)"
me,417,"(43.641500000000001, -70.240899999999996)"
md,2426,"(39.034832000000002, -76.907473999999993)"
mg,22,"(-19.919156999999998, -43.938602000000003)"
uly,0,"(54.316667000000002, 48.383333)"
ma,3878,"(42.373615999999998, -71.109732999999977)"
mc,2,"(43.298426999999997, 13.453476999999999)"
f,8,"(47.394143999999997, 0.68484)"
cas,3,"(5.3465550000000004, -72.405563000000001)"
ml,2,"(35.292276999999999, -2.938097)"
mo,2312,"(38.627002000000012, -90.199404000000001)"
mn,7823,"(44.953702999999997, -93.089957999999996)"
mi,7732,"(42.331427000000012, -83.045754000000002)"
mh,137,"(53.655429000000012, -6.6867000000000001)"
cau,4,"(2.4500000000000002, -76.616667000000007)"
mu,29,"(37.992331, -1.130457)"
mt,175,"(46.860518999999996, -114.01950100000001)"
mv,4,"(53.635502000000002, 11.401249999999999)"
can,465,"(-43.532054000000002, 172.636225)"
cam,3,"(19.830124999999999, -90.534908999999999)"
cal,3,"(5.067132, -75.518287999999998)"
im,0,"(43.815967000000001, 7.7760570000000016)"
tnn,2,"(23.141698999999999, 120.251273)"
mz,34,"(52.229675999999998, 21.012229000000001)"
g7,1,"(6.9103000000000003, 122.07170000000001)"
f2,1,"(51.333300000000001, -1.1167)"
f4,1,"(51.566699999999997, -0.33329999999999999)"
f5,0,"(-41.283299999999997, 173.2833)"
tas,347,"(-42.881903000000001, 147.323814)"
kya,2,"(56.012745999999993, 92.922360999999995)"
tab,4,"(17.987557000000006, -92.929147)"
tac,0,"(-18.017570000000006, -70.250968999999998)"
tam,3,"(26.071950999999999, -98.281036)"
tao,1,"(24.988889, 121.311111)"
spe,17,"(59.934280000000001, 30.335099)"
eng,1112,"(51.508515000000003, -0.12548699999999999)"
